"accession","title","published","has_bam","sra_accession"
"GSE188632","Single-cell transcriptomes combining with consecutive genomics reveal clonal evolution and gene regulatory networks in relapsed and refractory multiple myeloma",2021-12-02,FALSE,"SRP345650"
"GSE174188","Multiplexed scRNA-seq reveals the cellular and genetic correlates of systemic lupus erythematosus",2021-11-30,FALSE,"SRP319208"
"GSE181862","Progressively overloaded single-cell RNA-seq with cell hashing",2021-11-30,FALSE,NA
"GSE188363","Bulk RNA of IL-4 and squalene treated MDM",2021-11-08,FALSE,"SRP344943"
"GSE184895","Monitoring CAR T cell generation with a CD8-targeted lentiviral vector by single cell transcriptomics",2021-09-30,FALSE,"SRP339084"
"GSE183267","Discrete regulatory modules instruct hematopoietic lineage commitment and differentiation [scRNA-seq]",2021-09-29,FALSE,"SRP335385"
"GSE153825","Characterization of duck peripheral blood cells at single-cell resolution",2021-09-20,FALSE,"SRP270238"
"GSE156405","Elucidation of tumor-stromal heterogeneity and the ligand-receptor interactome by single cell transcriptomics in real-world pancreatic cancer biopsies",2021-08-24,FALSE,"SRP277925"
"GSE175499","Single-cell landscape of peripheral immune responses to fatal SFTS",2021-08-13,FALSE,"SRP321266"
"GSE165905","Single-cell analysis of the epigenomic and transcriptional landscape of innate immunity to seasonal and adjuvanted pandemic influenza vaccination in humans (TIV_scRNA-seq)",2021-06-24,FALSE,"SRP304328"
"GSE165903","Single-cell analysis of the epigenomic and transcriptional landscape of innate immunity to seasonal and adjuvanted pandemic influenza vaccination in humans (H5N1_scRNA-seq)",2021-06-24,FALSE,"SRP304326"
"GSE178404","Identification of immune correlates of fatal outcomes in critically ill COVID-19 patients",2021-06-17,FALSE,"SRP324507"
"GSE174804","Ex vivo scRNA-Seq of CD4+ cells in T-bet deficiency and wild type",2021-05-21,FALSE,"SRP320791"
"GSE172495","SINGLE-CELL CHARACTERIZATION OF A MODEL OF POLY I:C-STIMULATED PERIPHERAL BLOOD MONONUCLEAR CELLS IN SEVERE ASTHMA",2021-04-21,FALSE,"SRP315729"
"GSE155222","Single-Cell Omics Reveals Dyssynchrony of the Innate and Adaptive Immune System in Progressive COVID-19 [CITE-seq]",2021-04-04,FALSE,"SRP345663"
"GSE155223","Single-Cell Omics Reveals Dyssynchrony of the Innate and Adaptive Immune System in Progressive COVID-19 [single-cell RNA-seq]",2021-04-04,FALSE,"SRP345665"
"GSE158013","Simultaneous trimodal single cell measurement of transcripts, epitopes, and chromatin accessibility using TEA-seq",2021-04-01,FALSE,NA
"GSE169609","Splicing patterns in SF3B1 mutated uveal melanoma generate shared immunogenic tumor-specific neo-epitopes [scRNA-seq]",2021-03-25,FALSE,"SRP312102"
"GSE168732","Single-cell sequencing of peripheral blood mononuclear cells in acute Kawasaki disease",2021-03-11,FALSE,NA
"GSE144744","Identifying CNS-colonizing T cells as potential therapeutic targets to prevent progression of multiple sclerosis",2021-02-15,FALSE,NA
"GSE148416","Single cell resolution landscape of equine peripheral blood mononuclear cells reveals diverse immune cell subtypes including T-bet+ B cells",2021-01-24,FALSE,"SRP255906"
"GSE157278","Single-cell RNA Sequencing reveals the expansion of Cytotoxic CD4+ T lymphocytes and the heterogeneity of pathogenesis in primary Sjögren’s syndrome patients",2021-01-14,FALSE,"SRP279609"
"GSE161329","No detectable alloreactive transcriptional responses under standard sample preparation conditions during donor-multiplexed single-cell RNA sequencing of peripheral blood mononuclear cells",2020-11-12,FALSE,"SRP292300"
"GSE147928","Characterisation of CD4+ T-cell subtypes using single cell RNA sequencing and the impact of cell number and sequencing depth",2020-11-12,FALSE,"SRP254926"
"GSE159113","Single cell RNA-seq for LPS-treated human monocytes",2020-11-09,FALSE,"SRP286550"
"GSE159117","Single cell RNA-seq for PBMC from rheumatoid arthritis patient",2020-11-09,FALSE,"SRP286551"
"GSE151310","Single-cell transcriptomic sequencing of BCMA CAR-T cells during CAR-T therapy in refractory primary plasma cell leukemia",2020-09-30,FALSE,"SRP264992"
"GSE150672","Highly Efficient, Massively-Parallel Single-Cell RNA-Seq Reveals Cellular States and Molecular Features of Human Skin Pathology",2020-09-29,FALSE,"SRP273339"
"GSE158440","Single-cell profiling of Ebola virus infection in vivo reveals viral and host transcriptional dynamics (ExVivo scRNA-seq)",2020-09-22,FALSE,"SRP285115"
"GSE154654","Autophagy Promotes Growth of High Tumor Mutational Burden Tumors by Inhibiting a T Cell Immune Response [RNA-seq]",2020-07-26,FALSE,"SRP273754"
"GSE149689","Immunophenotyping of COVID-19 and Influenza Underscores the Association of Type I IFN Response in Severe COVID-19",2020-07-05,FALSE,"SRP259912"
"GSE152981","GMM-Demux: sample demultiplexing, multiplet detection, experiment planning and novel cell type verification in single cell sequencing.",2020-06-23,FALSE,"SRP268307"
"GSE128243","Single-cell RNA-seq of human peripheral blood NKT cells",2020-06-09,FALSE,"SRP188375"
"GSE134757","The Evolving Immune Microenvironment of B-cell Acute Lymphoblastic Leukemia [human peripheral blood dataset]",2020-06-07,FALSE,"SRP216168"
"GSE134758","The Evolving Immune Microenvironment of B-cell Acute Lymphoblastic Leukemia [murine dataset]",2020-06-07,FALSE,"SRP216169"
"GSE150728","A single-cell atlas of the peripheral immune response to severe COVID-19",2020-05-17,FALSE,"SRP262058"
"GSE128879","Single cell transcriptomics reveals opioid usage evokes widespread suppression of antiviral gene program",2020-04-11,FALSE,"SRP189483"
"GSE125188","Single-cell RNA sequencing reveals the heterogeneity of liver-resident immune cells in human",2020-03-31,FALSE,"SRP179761"
"GSE141105","Bulk and single cell transcriptomic data indicate that a dichotomy between inflammatory pathways in peripheral blood and arthritic joints complicates biomarker discovery",2020-01-09,FALSE,"SRP233489"
"GSE142016","Transcriptomic, epigenetic and functional analyses implicate neutrophil diversity in the pathogenesis of systemic lupus erythematosus [scRNA-seq]",2019-12-12,FALSE,"SRP237539"
"GSE133544","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (gmSCRB-seq)",2019-12-09,FALSE,"SRP212646"
"GSE133540","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (DROP-Seq)",2019-12-09,FALSE,"SRP212642"
"GSE141469","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (10 X V3)",2019-12-09,FALSE,"SRP234722"
"GSE133536","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (10X 8x 10K cells 25K reads)",2019-12-09,FALSE,"SRP212638"
"GSE133543","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (QUARTZ-Seq2)",2019-12-09,FALSE,"SRP212645"
"GSE133545","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (SMART-Se2q)",2019-12-09,FALSE,"SRP212647"
"GSE133541","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects  (ICELL8)",2019-12-09,FALSE,"SRP212643"
"GSE133546","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (SingleNuclei)",2019-12-09,FALSE,"SRP212648"
"GSE133547","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (ddSEQ)",2019-12-09,FALSE,"SRP212649"
"GSE133548","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (inDrop)",2019-12-09,FALSE,"SRP212651"
"GSE133535","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (10X 2x 5K cells 250K reads)",2019-12-09,FALSE,"SRP212637"
"GSE133537","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (C1HT)",2019-12-09,FALSE,"SRP212639"
"GSE133538","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects  (C1HT small)",2019-12-09,FALSE,"SRP212640"
"GSE133539","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (CEL-Seq2)",2019-12-09,FALSE,"SRP212641"
"GSE133542","Benchmarking Single-Cell RNA Sequencing Protocols for Cell Atlas Projects (MARS-Seq)",2019-12-09,FALSE,"SRP212644"
"GSE128626","Prediction of bacterial infection outcome using single cell RNA-seq analysis of human immune cells [sorted population Bulk RNA-seq]",2019-06-06,FALSE,"SRP188982"
"GSE128627","Prediction of bacterial infection outcome using single cell RNA-seq analysis of human immune cells [WB/PBMCs bulk RNA-seq]",2019-06-06,FALSE,"SRP188983"
"GSE122083","Prediction of bacterial infection outcome using single cell RNA-seq analysis of human immune cells [scRNA-seq ind.1]",2019-06-06,FALSE,"SRP167690"
"GSE122058","Prediction of bacterial infection outcome using single cell RNA-seq analysis of human immune cells [WT/TLR10 bulk RNA-seq]",2019-06-06,FALSE,"SRP167434"
"GSE132300","Prediction of bacterial infection outcome using single cell RNA-seq analysis of human immune cells [scRNA-seq ind. 2]",2019-06-06,FALSE,"SRP200654"
"GSE128639","Comprehensive integration of single-cell data",2019-06-05,FALSE,"SRP188993"
"GSE129112","scRNA-seq analysis of the dual expressors, B cells and T cells of a diabetes patient",2019-06-01,FALSE,"SRP189995"
"GSE132044","Systematic comparative analysis of single cell RNA-sequencing methods",2019-05-31,FALSE,"SRP200058"
"GSE127462","High-throughput tissue dissection and cell purification with digital cytometry [Affymetrix]",2019-05-05,FALSE,NA
"GSE127471","High-throughput tissue dissection and cell purification with digital cytometry [scRNA-Seq]",2019-05-05,FALSE,NA
"GSE128223","Single cell RNAseq of human TCRVdelta 1 and TCRVdelta 2 gammadelta T lymphocytes purified from healthy adults blood",2019-04-30,FALSE,"SRP188300"
"GSE128066","A Bayesian mixture model for clustering droplet-based single cell transcriptomic data from population studies",2019-03-08,FALSE,"SRP188007"
"GSE123139","Dysfunctional CD8+ T cells form a proliferative, dynamically regulated compartment within human melanoma [scRNA-seq]",2018-12-26,FALSE,NA
"GSE121267","Molecular and functional heterogeneity of IL-10-producing CD4+ T cells [Human 10x]",2018-11-06,FALSE,"SRP165927"
"GSE103568","Sensitive and powerful single-cell RNA sequencing using mcSCRB-seq",2018-07-25,FALSE,"SRP116915"
"GSE112845","PBMC Fixation and Processing for Chromium Single-Cell RNA Sequencing",2018-07-24,FALSE,"SRP139028"
"GSE110513","Integrating single-cell transcriptomic data across different conditions, technologies, and species",2018-04-01,FALSE,"SRP132740"
"GSE80212","A Reproducibility-Based Computational Framework Identifies An Inducible, Enhanced Antiviral Dendritic Cell State In HIV-1 Elite Controllers (scRNA-Seq)",2017-12-22,FALSE,"SRP073208"
